id_policy,fold
PL013584,2
PL086412,3
PL053942,4
PL070060,5
PL068298,1
PL020706,2
PL054590,3
PL060780,4
PL047554,5
PL085695,1
PL006333,2
PL015821,3
PL067060,4
PL006197,5
PL024711,1
PL056457,2
PL079606,3
PL072022,4
PL059740,5
PL030646,1
PL001368,2
PL005653,3
PL048701,4
PL085740,5
PL061648,1
PL023290,2
PL006250,3
PL016434,4
PL047230,5
PL094926,1
PL068496,2
PL081099,3
PL042633,4
PL046727,5
PL072845,1
PL061967,2
PL039179,3
PL035511,4
PL042480,5
PL007131,1
PL085948,2
PL060551,3
PL023982,4
PL084968,5
PL010286,1
PL042588,2
PL015827,3
PL078882,4
PL088326,5
PL028517,1
PL002008,2
PL077553,3
PL064045,4
PL085134,5
PL068897,1
PL056352,2
PL063600,3
PL054976,4
PL060437,5
PL038900,1
PL001380,2
PL009540,3
PL046380,4
PL028212,5
PL085586,1
PL014626,2
PL045585,3
PL074076,4
PL062180,5
PL021212,1
PL048990,2
PL034161,3
PL022343,4
PL077074,5
PL094525,1
PL047494,2
PL057629,3
PL000839,4
PL012345,5
PL020292,1
PL009308,2
PL010692,3
PL031114,4
PL002782,5
PL053348,1
PL038236,2
PL051710,3
PL011962,4
PL086623,5
PL080269,1
PL080233,2
PL095503,3
PL020339,4
PL071240,5
PL036154,1
PL009906,2
PL028704,3
PL048881,4
PL012446,5
PL022394,1
PL017098,2
PL049960,3
PL041780,4
PL001712,5
PL076076,1
PL060951,2
PL025843,3
PL094560,4
PL046331,5
PL023352,1
PL090136,2
PL013238,3
PL089107,4
PL060567,5
PL055203,1
PL054178,2
PL024997,3
PL004359,4
PL054155,5
PL026891,1
PL084152,2
PL081980,3
PL037282,4
PL048641,5
PL042062,1
PL045768,2
PL015029,3
PL084840,4
PL039203,5
PL056099,1
PL045508,2
PL078766,3
PL027758,4
PL049982,5
PL033691,1
PL052364,2
PL071785,3
PL085671,4
PL033298,5
PL006320,1
PL014743,2
PL042589,3
PL083792,4
PL094469,5
PL034169,1
PL031633,2
PL052398,3
PL029554,4
PL044547,5
PL082568,1
PL065211,2
PL050577,3
PL091587,4
PL090886,5
PL070928,1
