vh_make_model,applied_car_ratio
aaykjdjgdzrrdvxz,1.5
abcepdrvvynjsufa,1.5
ablxjgbyowxrfxed,1.5
adzzjitkyqlberpu,1.5
arcsdpohuzvikyaw,1.5
bfmdeosllvjkezwq,1.5
cbmmnlpqoyyursux,1.5
celpzeaubkxaxxbx,1.5
cgighhnwnkxluccz,1.5
cgkclpnidlmetsrb,1.5
ciuxczxwhwbxdkdf,1.5
cnlvybtdupkcwczn,1.5
cqewccykrcmvawlo,1.5
cwshqcgmaazzefkx,1.5
cxxzogxxkmkjwqui,1.5
dcjzdpoxqvgnjpmi,1.5
disoykeofihapsal,1.5
dlbnpwopifytzerl,1.5
dlrvgwmumnwcjixm,1.5
dpklliwcxycpfriu,1.5
dqgtaigmpivatpeu,1.5
ehtbxdjhvcwdapsg,1.5
enmicxqiumbpozpk,1.5
eokuiduvnrtzavmr,1.5
esilvarzflhfmjhh,1.5
exkqtrkthhgvjqdl,1.5
exutskjkecvotaxd,1.5
eyaqhofitsegmcwi,1.5
fpfzaadmykntrupr,1.5
fuddhlszptfmosir,1.5
fuwhdjmdexrstmmo,1.5
ggaokfjtqxyctvok,1.5
gjbalugsikirqoam,1.5
gjpgirzuabhfpkjd,1.5
gmzbnaysqjpkzqbt,1.5
gpclrtlzecazeeev,1.5
gqfadgvnztixxbmv,1.5
gtbzqhsuzzdfhzfv,1.5
gxgjyxrnnugizdvf,1.5
gzebcnjcmqioqcjb,1.5
hayciibjzwapccnb,1.5
hcoxxbfccserxklx,1.5
heicadwqfavetjwx,1.5
hhrmdevbfqiebnum,1.5
htppstzpipwjtuia,1.5
hwldevoubgzgbhgs,1.5
hywzsmogbhnfcaxk,1.5
iigklaveqvybkbid,1.5
infvsqmvfzjpyfae,1.5
ioqpncqqlflrjzkj,1.5
ismjlsoibleinjdp,1.5
ixfiagqhmszowdmf,1.5
ixwsqebjjdlxcqsq,1.5
jeckddxjsdolnuhe,1.5
jepialiqqsttgcid,1.5
jkhjcfudwqurdoex,1.5
jlibzlturkpyjavf,1.5
joosvbazdbslkqgx,1.5
kcfhiwouwwfjqtta,1.5
kjdumkaiaeblbxtt,1.5
ldejndeewhhlcvgc,1.5
lpwtmtiwkgbwhufg,1.5
