town_id,applied_town_id_ratio
10_1002,1.5
10_1031,1.5
10_1119,1.5
10_1332,1.5
10_1442,1.5
10_1449,1.5
10_1451,1.5
10_185,1.5
10_207,1.5
10_2084,1.5
10_222,1.5
10_281,1.5
10_386,1.5
10_400,1.5
10_408,1.5
10_427,1.5
10_483,1.5
10_582,1.5
10_5955,1.5
10_613,1.5
10_675,1.5
10_740,1.5
10_814,1.5
10_854,1.5
10_883,1.5
100_1047,1.5
100_1052,1.5
100_1084,1.5
100_1098,1.5
100_1115,1.5
100_1425,1.5
100_1495,1.5
100_1504,1.5
100_1557,1.5
100_1658,1.5
100_1910,1.5
100_1993,1.5
100_2077,1.5
100_2083,1.5
100_209,1.5
100_2205,1.5
100_2206,1.5
100_2280,1.5
100_230,1.5
100_2783,1.5
100_2785,1.5
100_2990,1.5
100_3328,1.5
100_345,1.5
100_398,1.5
100_405,1.5
100_431,1.5
100_537,1.5
100_545,1.5
100_656,1.5
100_731,1.5
100_828,1.5
100_853,1.5
100_917,1.5
100_922,1.5
100_923,1.5
1000_4320,1.5
1010_2105,1.5
1020_5139,1.5
1030_3800,1.5
1040_2505,1.5
1040_7454,1.5
1050_1785,1.5
1050_485,1.5
1070_1227,1.5
1070_1321,1.5
1080_850,1.5
1090_1574,1.5
1090_2910,1.5
110_1127,1.5
110_1157,1.5
110_1186,1.5
110_1226,1.5
110_1252,1.5
110_1272,1.5
110_1424,1.5
110_1514,1.5
110_1536,1.5
110_1575,1.5
110_1651,1.5
110_1709,1.5
110_1767,1.5
110_1911,1.5
110_1913,1.5
110_2017,1.5
110_2145,1.5
110_215,1.5
110_2252,1.5
110_2390,1.5
110_2619,1.5
110_2673,1.5
110_2794,1.5
110_2925,1.5
110_3030,1.5
110_3104,1.5
110_3118,1.5
110_3245,1.5
110_3860,1.5
110_397,1.5
110_4091,1.5
110_427,1.5
110_4356,1.5
110_4460,1.5
110_4598,1.5
110_4831,1.5
110_490,1.5
110_5227,1.5
110_5370,1.5
110_616,1.5
110_649,1.5
110_6837,1.5
110_7013,1.5
110_714,1.5
110_773,1.5
110_783,1.5
110_815,1.5
110_816,1.5
110_842,1.5
110_903,1.5
110_904,1.5
110_927,1.5
110_936,1.5
110_978,1.5
1100_3452,1.5
1140_404,1.5
1150_1282,1.5
1150_655,1.5
1160_4633,1.5
1160_4702,1.5
1190_1163,1.5
120_1078,1.5
120_1125,1.5
120_1191,1.5
120_1285,1.5
120_1328,1.5
120_1381,1.5
120_1542,1.5
120_1544,1.5
120_1599,1.5
120_1740,1.5
120_1764,1.5
120_1777,1.5
120_1897,1.5
120_1925,1.5
120_2214,1.5
120_2446,1.5
120_2541,1.5
120_2562,1.5
120_2672,1.5
120_2695,1.5
120_2716,1.5
120_2789,1.5
120_2811,1.5
120_2888,1.5
120_2938,1.5
120_2950,1.5
120_301,1.5
120_3073,1.5
120_318,1.5
120_3336,1.5
120_3402,1.5
120_3628,1.5
120_3856,1.5
120_4024,1.5
120_4184,1.5
120_437,1.5
120_4975,1.5
120_519,1.5
120_524,1.5
120_5847,1.5
120_5879,1.5
120_621,1.5
120_724,1.5
120_7454,1.5
120_876,1.5
120_944,1.5
120_950,1.5
120_966,1.5
120_977,1.5
1200_1589,1.5
1200_3080,1.5
1200_753,1.5
1230_4838,1.5
1250_4239,1.5
1250_787,1.5
1270_331,1.5
130_1017,1.5
130_1114,1.5
130_1144,1.5
130_1184,1.5
130_1200,1.5
130_1296,1.5
130_1306,1.5
130_1307,1.5
130_1396,1.5
130_1441,1.5
130_1459,1.5
130_1722,1.5
130_1912,1.5
130_2150,1.5
130_2214,1.5
130_2273,1.5
130_2318,1.5
130_2497,1.5
130_2502,1.5
130_2552,1.5
130_2948,1.5
130_3031,1.5
130_3283,1.5
130_3346,1.5
130_3711,1.5
130_415,1.5
130_463,1.5
130_466,1.5
130_468,1.5
130_5037,1.5
130_5274,1.5
130_5871,1.5
130_687,1.5
130_781,1.5
130_799,1.5
130_819,1.5
130_841,1.5
130_850,1.5
130_857,1.5
130_891,1.5
130_955,1.5
1300_530,1.5
1310_780,1.5
1330_2752,1.5
1330_4040,1.5
1350_2749,1.5
1360_1012,1.5
1370_853,1.5
140_1008,1.5
140_1104,1.5
140_1131,1.5
140_1280,1.5
140_1591,1.5
140_1625,1.5
140_1736,1.5
140_1796,1.5
140_1810,1.5
140_1819,1.5
140_1900,1.5
140_2078,1.5
140_2143,1.5
140_2359,1.5
140_2457,1.5
140_2588,1.5
140_2709,1.5
140_279,1.5
140_3036,1.5
140_307,1.5
140_3088,1.5
140_3643,1.5
140_3766,1.5
140_452,1.5
140_5076,1.5
140_5098,1.5
140_574,1.5
140_608,1.5
140_625,1.5
140_669,1.5
140_779,1.5
140_810,1.5
140_895,1.5
140_935,1.5
1410_1574,1.5
1420_1104,1.5
1420_1316,1.5
1440_1555,1.5
1440_765,1.5
1460_3387,1.5
1470_1172,1.5
1480_384,1.5
150_1076,1.5
150_1202,1.5
150_1215,1.5
150_1294,1.5
150_1324,1.5
150_1340,1.5
150_1410,1.5
150_1588,1.5
150_1615,1.5
150_1746,1.5
150_2152,1.5
150_2677,1.5
150_2959,1.5
150_3015,1.5
150_3896,1.5
150_4528,1.5
150_4679,1.5
150_4979,1.5
150_5179,1.5
150_526,1.5
150_5262,1.5
150_532,1.5
150_551,1.5
150_565,1.5
150_585,1.5
150_5881,1.5
150_6139,1.5
150_638,1.5
150_653,1.5
150_685,1.5
150_721,1.5
150_730,1.5
150_739,1.5
150_7454,1.5
150_817,1.5
150_864,1.5
150_869,1.5
1510_461,1.5
1520_3708,1.5
1530_2484,1.5
1530_637,1.5
1540_1000,1.5
1540_1906,1.5
1550_1193,1.5
1560_185,1.5
1590_1037,1.5
1590_595,1.5
1590_970,1.5
160_1067,1.5
160_1085,1.5
160_1101,1.5
160_1423,1.5
160_1472,1.5
160_1610,1.5
160_1750,1.5
160_1886,1.5
160_2389,1.5
160_2615,1.5
160_2726,1.5
160_3185,1.5
160_3586,1.5
160_3664,1.5
160_3762,1.5
160_3931,1.5
160_5206,1.5
160_566,1.5
160_574,1.5
160_593,1.5
160_627,1.5
160_636,1.5
160_695,1.5
160_740,1.5
160_759,1.5
160_804,1.5
160_861,1.5
160_913,1.5
1600_2128,1.5
170_1061,1.5
170_1249,1.5
170_1345,1.5
170_1431,1.5
170_1631,1.5
170_1693,1.5
170_1913,1.5
170_2016,1.5
170_2197,1.5
170_2411,1.5
170_2631,1.5
170_2810,1.5
170_2899,1.5
170_2919,1.5
170_2987,1.5
170_3193,1.5
170_3271,1.5
170_3274,1.5
170_329,1.5
170_381,1.5
170_4493,1.5
170_500,1.5
170_5016,1.5
170_533,1.5
170_541,1.5
170_5837,1.5
170_613,1.5
170_641,1.5
170_681,1.5
170_715,1.5
170_717,1.5
170_806,1.5
170_875,1.5
170_899,1.5
170_955,1.5
1700_1387,1.5
1730_273,1.5
1740_1010,1.5
1740_763,1.5
1750_1642,1.5
1790_3062,1.5
180_1111,1.5
180_1221,1.5
180_1257,1.5
180_1268,1.5
180_1469,1.5
180_1541,1.5
180_1591,1.5
180_1609,1.5
180_1693,1.5
180_1814,1.5
180_1970,1.5
180_1981,1.5
180_2012,1.5
180_2187,1.5
180_2273,1.5
180_2332,1.5
180_2376,1.5
180_2549,1.5
180_2772,1.5
180_356,1.5
180_376,1.5
180_3797,1.5
180_3884,1.5
180_4598,1.5
180_467,1.5
180_480,1.5
180_531,1.5
180_541,1.5
180_566,1.5
180_735,1.5
1800_357,1.5
1850_1872,1.5
1860_298,1.5
1860_3132,1.5
1870_525,1.5
1880_7454,1.5
190_1009,1.5
190_1110,1.5
190_1315,1.5
190_1402,1.5
190_1484,1.5
190_1729,1.5
190_2265,1.5
190_2492,1.5
190_2784,1.5
190_3598,1.5
190_4160,1.5
190_4933,1.5
