Feature,Gain,Cover,Frequency
pol_coverage_int,0.1266284913002018,0.08702962128608845,0.033131555843075644
pol_coverage_int_x_vh_time_left,0.09250613598609844,0.0858226724042419,0.027678942747562496
pol_coverage_Max,0.09239358482951289,0.0514025688289052,0.014463287278776396
pol_coverage_int_x_vh_current_value,0.06725631630146833,0.10031459243681279,0.04911972644517351
pol_coverage_int_x_vh_current_value_x_vh_age,0.05604806236028679,0.07059614626798898,0.0553116769095698
vh_current_value,0.04017707132009423,0.06245789813325486,0.04218843861189409
vh_current_value_x_vh_time_left,0.03768950380944534,0.05605724215779111,0.03290051291529966
vh_value,0.03330640942174255,0.03887492738426094,0.04676308858185851
vh_speed,0.030046664038454147,0.015307103741289123,0.03987800933413428
vh_age,0.028823907228823647,0.054583435766129285,0.030543875051984658
vh_weight,0.02682074108787923,0.021174522152054735,0.03738274571415369
pop_density,0.02232228647554543,0.014764595326953105,0.036735825516380945
drv_age1,0.021000644271536036,0.0198832136276549,0.03946213206413752
pol_sit_duration,0.02066426811600664,0.02301339524601432,0.033686058869737995
pol_coverage_int_x_pol_no_claims_discount,0.02037566582342597,0.019065209271381556,0.026893396793124164
pol_coverage_Min,0.01985774357557458,0.014478646310398026,0.013862575666558847
population,0.01985241016835648,0.01238601093778334,0.030359040709763873
pol_no_claims_discount,0.016572140884446612,0.014332021537859108,0.0228270412642669
drv_age_lic1,0.015609095992013117,0.013618865772654294,0.03160667251975417
pol_duration,0.014722355631635974,0.011039033831090807,0.028649323044221617
vh_time_left,0.014550995938379722,0.024346678656375128,0.011829397902130216
town_surface_area,0.014079361305317431,0.010379408847283403,0.030543875051984658
age_when_licensed,0.013878069036668153,0.012884842699757777,0.027909985675338478
pol_usage_Professional,0.013209698503842517,0.012756883371340177,0.015895753430987477
drv_age2,0.013045774773464967,0.011282788132458926,0.02536851346980269
vh_fuel_Diesel,0.01303626992313357,0.010168651326992123,0.013492906982117277
drv_age_lic2,0.012601454286784112,0.010361927788858307,0.024675384686474747
vh_current_value_x_pol_no_claims_discount,0.012438344857595663,0.012314953205523747,0.01945381451873758
pol_coverage_Med2,0.009187390000701536,0.027995154723077485,0.00938034286770482
vh_fuel_Gasoline,0.008965410218138115,0.007119179873253687,0.010027263065477566
vh_time_left_x_pol_no_claims_discount,0.007593059710326223,0.008749009341010012,0.013723949909893259
pol_pay_freq_int,0.00726240412251246,0.006299688211608264,0.012014232244351001
