id_policy,n_claims
PL000000,0
PL000001,0
PL000003,0
PL000005,1
PL000007,0
PL000008,0
PL000009,0
PL000011,0
PL000013,0
PL000014,0
PL000015,0
PL000016,0
PL000019,2
PL000020,1
PL000021,0
PL000023,0
PL000024,0
PL000025,0
PL000027,0
PL000028,1
PL000032,1
PL000033,0
PL000034,1
PL000035,0
PL000036,0
PL000037,0
PL000038,0
PL000041,0
PL000042,1
PL000043,1
PL000044,0
PL000045,0
PL000046,0
PL000048,0
PL000049,0
PL000050,0
PL000051,0
PL000052,0
PL000055,1
PL000057,1
PL000060,1
PL000063,0
PL000064,1
PL000065,0
PL000066,0
PL000067,1
PL000068,0
PL000069,2
PL000070,1
PL000077,0
PL000078,0
PL000080,0
PL000081,0
PL000083,0
PL000084,1
PL000085,0
PL000086,1
PL000087,0
PL000088,1
PL000089,0
PL000090,1
PL000092,0
PL000094,0
PL000095,1
PL000097,0
PL000098,1
PL000100,0
PL000104,0
PL000105,2
PL000106,0
PL000112,0
PL000113,0
PL000114,1
PL000115,0
PL000116,1
PL000117,1
PL000118,1
PL000120,1
PL000121,0
PL000123,1
PL000125,0
PL000126,0
PL000129,1
PL000131,0
PL000134,0
PL000135,0
PL000136,0
PL000137,0
PL000138,0
PL000140,1
PL000141,0
PL000142,0
PL000143,0
PL000144,2
PL000145,1
PL000148,0
PL000149,0
PL000153,1
PL000154,1
PL000155,0
PL000156,0
PL000160,2
PL000161,0
PL000162,0
PL000164,0
PL000166,1
PL000167,0
PL000169,0
PL000170,0
PL000171,0
PL000172,0
PL000174,1
PL000175,1
PL000176,0
PL000178,1
PL000181,0
PL000183,0
PL000184,0
PL000186,0
PL000187,0
PL000190,0
PL000193,2
PL000194,1
PL000196,0
PL000197,2
PL000198,0
PL000200,0
PL000202,0
PL000203,1
PL000204,0
PL000205,0
PL000206,0
PL000207,1
PL000208,0
PL000209,0
PL000210,0
PL000215,0
PL000218,1
PL000220,0
PL000227,0
PL000228,0
PL000232,0
PL000234,1
PL000235,1
PL000236,0
PL000237,0
PL000240,1
PL000244,0
PL000247,0
PL000249,0
PL000253,0
PL000256,0
PL000257,0
PL000259,0
PL000260,0
PL000264,0
PL000267,1
PL000269,0
PL000271,0
PL000272,0
PL000273,0
PL000274,1
PL000275,0
PL000276,2
PL000277,1
PL000278,0
PL000282,1
PL000283,0
PL000285,1
PL000286,0
PL000289,0
PL000290,0
PL000292,2
PL000294,2
PL000295,1
PL000296,0
PL000297,0
PL000298,1
PL000299,0
PL000301,0
PL000302,0
PL000303,2
PL000305,0
PL000306,0
PL000308,1
PL000309,0
PL000311,0
PL000312,1
PL000313,2
PL000316,3
PL000318,0
PL000320,0
PL000321,0
PL000322,0
PL000323,1
PL000326,1
PL000327,0
PL000329,0
PL000330,0
PL000331,0
PL000332,0
PL000333,0
PL000334,0
PL000337,1
PL000339,1
PL000340,0
PL000341,0
PL000342,0
PL000344,1
PL000345,0
PL000347,0
PL000349,1
PL000350,2
PL000352,0
PL000353,0
PL000354,1
PL000356,1
PL000358,0
PL000360,1
PL000361,1
PL000362,0
PL000364,0
PL000367,0
PL000369,0
PL000371,2
PL000374,1
PL000375,0
PL000376,0
PL000377,0
PL000378,2
PL000379,0
PL000380,0
PL000381,0
PL000382,0
PL000385,1
PL000388,0
PL000389,0
PL000390,1
PL000393,0
